MARCA,MODELO,URL,PRECIO_LISTA,FECHA_EXTRACCION
SUZUKI,DL1050XT,https://www.suzukimotos.cl/producto/v-strom-1050/, 13.999.900,2023-04-17 15:22:10.859302
SUZUKI,DRZ-125L,https://www.suzukimotos.cl/producto/dr-z125l/, 2.999.900,2023-04-17 15:22:21.040563
SUZUKI,GSX 150,https://www.suzukimotos.cl/producto/gixxer/, 2.099.900,2023-04-17 15:22:32.167800
SUZUKI,GSX-R 150,https://www.suzukimotos.cl/producto/gsx-r-150/, 3.199.900,2023-04-17 15:22:42.283545
SUZUKI,GSX-S 150,https://www.suzukimotos.cl/producto/gsx-s-150/, 2.999.900,2023-04-17 15:22:52.368462
SUZUKI,GSX150F,https://www.suzukimotos.cl/producto/gixxer-sf-fi/, 2.399.900,2023-04-17 15:23:03.813610
SUZUKI,GSXR1000R,https://www.suzukimotos.cl/producto/gsx-r-1000/, 17.999.900,2023-04-17 15:23:16.472335
SUZUKI,INTRUDER 150,https://www.suzukimotos.cl/producto/intruder/, 2.599.900,2023-04-17 15:23:27.913605
SUZUKI,RMZ-250,https://www.suzukimotos.cl/producto/rmz250/, 7.999.900,2023-04-17 15:23:39.956444
SUZUKI,GSX-S 750,https://www.suzukimotos.cl/producto/gsr750a/, 10.799.900,2023-04-17 15:23:51.544603
SUZUKI,SV 650,https://www.suzukimotos.cl/producto/sv650/, 8.649.900,2023-04-17 15:24:03.468330
SUZUKI,GIXXER FI 250,https://www.suzukimotos.cl/producto/gixxer-fi-250/, 4.199.900,2023-04-17 15:24:16.286221
SUZUKI,GIXXER 150 FI (2023),https://www.suzukimotos.cl/producto/gixxer-150-fi-2023/, 2.599.900,2023-04-17 15:24:27.638937
SUZUKI,GZ 150,https://www.suzukimotos.cl/producto/gz150/, 2.499.900,2023-04-17 15:24:39.489702
SUZUKI,GSX-R 750,https://www.suzukimotos.cl/producto/gsx-r-750/, 13.699.900,2023-04-17 15:24:52.819777
SUZUKI,V-STROM 650,https://www.suzukimotos.cl/producto/v-strom-650/, 10.399.900,2023-04-17 15:25:05.277861
SUZUKI,RMZ-450,https://www.suzukimotos.cl/producto/rmz450/, 8.599.900,2023-04-17 15:25:16.579192
